District name,,,,Office type,Address,,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,postcode,input_string,number_of_results,status,distance to SK parli. (1230.828 is NULL**)
Saskatoon Meewasin,,,,constituency,"219 Primrose Drive Saskatoon, SK",46,"219 Primrose Dr, Saskatoon, SK S7K 7C2, Canada",52.1678755,-106.6338155,"52.1678755,-106.6338155",ROOFTOP,ChIJu8V_F372BFMRrm9clfLHvxk,S7K 7C2,"219 Primrose Drive Saskatoon, SK",1,OK,2199.695
Saskatoon Northwest,,,,constituency,"209A 2750 Faithfull Ave. Saskatoon, SK",47,"209A-2750 Faithfull Ave, Saskatoon, SK S7K 6M6, Canada",52.1723791,-106.6639929,"52.1723791,-106.6639929",ROOFTOP,EjYyMDlBLTI3NTAgRmFpdGhmdWxsIEF2ZSwgU2Fza2F0b29uLCBTSyBTN0sgNk02LCBDYW5hZGEiIBoeChYKFAoSCRPDO4dn9gRTETkJCDRSDtzIEgQyMDlB,S7K 6M6,"209A 2750 Faithfull Ave. Saskatoon, SK",1,OK,2200.876
Saskatoon Nutana,,,,constituency,"17 – 2105 8th Street East Saskatoon, SK",48,"2105 8 St E, Saskatoon, SK S7H 5N9, Canada",52.1153213,-106.6247452,"52.1153213,-106.6247452",GEOMETRIC_CENTER,ChIJgxC7ikjxBFMRbeInSzF1bTg,S7H 5N9,"17 – 2105 8th Street East Saskatoon, SK",1,OK,2192.89
Saskatoon Riversdale,,,,constituency,"1438 Fletcher Road Saskatoon, SK",49,"1438 Fletcher Rd, Saskatoon, SK S7M 5T2, Canada",52.1078099,-106.7111545,"52.10780990000001,-106.7111545",ROOFTOP,ChIJdbqhPKzwBFMR4E3wJpJpGoc,S7M 5T2,"1438 Fletcher Road Saskatoon, SK",1,OK,2199.339
Saskatoon Silverspring-Sutherland,,,,constituency,11 – 705 Central Ave. Saskatoon SK,50,"705 Central Ave #2, Saskatoon, SK S7N 3A4, Canada",52.1362531,-106.597904,"52.1362531,-106.597904",ROOFTOP,ChIJaeIeTQT0BFMREZCofpPkUqM,S7N 3A4,11 – 705 Central Ave. Saskatoon SK,1,OK,2194.325
Saskatoon Southeast,,,,constituency,"#201 – 3301 8th Street Saskatoon, SK",51,,,,,,,,"#201 – 3301 8th Street Saskatoon, SK",0,INVALID_REQUEST,1230.828
Saskatoon Stonebridge-Dakota,,,,constituency,"140 – 250 Hunter Road Saskatoon, SK",52,"140-250 Hunter Rd, Saskatoon, SK S7T 1C9, Canada",52.0850733,-106.6210324,"52.0850733,-106.6210324",ROOFTOP,ChIJB9WlCwnxBFMRFavoeHkArLI,S7T 1C9,"140 – 250 Hunter Road Saskatoon, SK",1,OK,2190.976
Saskatoon University,,,,constituency,"#202 – 3301 8th Street East Saskatoon, SK",53,,,,,,,,"#202 – 3301 8th Street East Saskatoon, SK",0,INVALID_REQUEST,1230.828
Saskatoon Westview,,,,constituency,"210 – 2103 Airport Drive Saskatoon, SK",54,"2121-2103 Airport Dr, Saskatoon, SK S7L 6W5, Canada",52.15587,-106.686961,"52.15587,-106.686961",ROOFTOP,ChIJvRoCI_72BFMR65Pt8H0_Kw4,S7L 6W5,"210 – 2103 Airport Drive Saskatoon, SK",1,OK,2201.051
Saskatoon Willowgrove,,,,constituency,"431B Nelson Rd. Saskatoon, SK",55,"431 Nelson Rd, Saskatoon, SK S7S 1P2, Canada",52.1505407,-106.5703044,"52.1505407,-106.5703044",ROOFTOP,ChIJ3WC8oGj0BFMRVkQYJb_2bbk,S7S 1P2,"431B Nelson Rd. Saskatoon, SK",1,OK,2198.904
Swift Current,,,,constituency,"#2 – 1061 Central Ave. N. Swift Current, SK",56,,,,,,,,"#2 – 1061 Central Ave. N. Swift Current, SK",0,INVALID_REQUEST,1230.828
The Battlefords,,,,constituency,"11400 – Unit 23 Railway Ave. E. North Battleford, SK",57,"11400 Railway Ave E, North Battleford, SK S9A 3P7, Canada",52.7631145,-108.2806426,"52.7631145,-108.2806426",RANGE_INTERPOLATED,EjkxMTQwMCBSYWlsd2F5IEF2ZSBFLCBOb3J0aCBCYXR0bGVmb3JkLCBTSyBTOUEgM1A3LCBDYW5hZGEiGxIZChQKEgnXJ1nhLQQGUxGFt7H4dtalhxCIWQ,S9A 3P7,"11400 – Unit 23 Railway Ave. E. North Battleford, SK",1,OK,2393.464
Weyburn-Big Muddy,,,,constituency,"60 18th Street Weyburn, SK",58,"60 18 St, Weyburn, SK S4H 0B8, Canada",49.6585208,-103.828921,"49.6585208,-103.828921",RANGE_INTERPOLATED,Eh02MCAxOCBTdCwgV2V5YnVybiwgU0ssIENhbmFkYSIaEhgKFAoSCXWldNkLDx9TEevCZoytxGXEEDw,S4H 0B8,"60 18th Street Weyburn, SK",1,OK,1899.174
Wood River,,,,constituency,"201 3rd Avenue West Assiniboia, SK",59,"201 3rd Ave W, Assiniboia, SK S0H 0B0, Canada",49.6317405,-105.9954217,"49.6317405,-105.9954217",ROOFTOP,ChIJfc-Unw3KGVMRJbLxLJQxlg0,S0H 0B0,"201 3rd Avenue West Assiniboia, SK",1,OK,1892.265
Yorkton,,,,constituency,"440 Broadway Street East Yorkton, SK",60,"440 Broadway St E, Yorkton, SK S3N 3Z3, Canada",51.2099462,-102.4350942,"51.2099462,-102.4350942",ROOFTOP,ChIJ1ziMRuet41IR8rEDXmpnl1A,S3N 3Z3,"440 Broadway Street East Yorkton, SK",1,OK,2168.069
